HIP id,Vmag,RA (deg),Dec (deg),Par(mas),(B-V),Sp class,,
3010,7.43,9.5752004,-73.96249617,16.35,0.48,F5IV-V,,
3119,7.43,9.91921008,11.53230972,20.14,0.54,F8,,
8798,7.43,28.27628223,-1.32609412,26.56,0.64,G0,,
9683,7.43,31.14315629,25.41473128,26.91,0.71,K0,,
2790,7.45,8.89236491,-39.7458899,34.3,0.73,G8V,,
7961,7.45,25.56072752,-17.88883494,20.45,0.62,G2/G3V,,
1481,7.46,4.60835719,-63.47735107,24.42,0.54,F8/G0V,,
6442,7.47,20.68129863,10.36977468,18.97,0.68,G5,,
5578,7.48,17.88374424,-12.84291544,24.65,0.59,G1V,,
5806,7.5,18.62256714,-5.04704963,25.96,0.57,F8,,
9902,7.5,31.85840805,-59.67938421,22.24,0.54,F8V,,
490,7.51,1.46861724,-41.7528821,24.85,0.59,G0V,,
870,7.51,2.6697124,2.05549803,18.2,0.5,F8,,
9885,7.51,31.79745582,-60.9833967,18.83,0.53,F7/F8V,,
6752,7.52,21.72422621,37.4924088,18.57,0.55,F8,,
420,7.53,1.28166779,-52.15142338,23.9,0.58,G0V,,
2981,7.53,9.48706616,47.40791719,20.92,0.46,F5,,
4393,7.53,14.0715564,52.49123259,24.39,0.67,G5,,
7949,7.53,25.52543359,69.08601991,21.08,0.59,F5,,
5938,7.55,19.10048066,-12.09698844,37.71,0.75,K0V,,
3832,7.56,12.29936838,-53.7740789,19.48,0.51,F6/F7V,,
1813,7.57,5.75033827,22.37553791,24.68,0.64,F8,,
682,7.59,2.10705914,6.6168073,25.15,0.63,G2V,,
3214,7.6,10.21930456,31.11650674,17.45,0.46,F4V,,
5335,7.61,17.05096881,21.97712274,30.84,0.71,G5,,
6975,7.62,22.4528528,23.6905618,21.66,0.56,F8,,
7805,7.62,25.09996775,-60.99903796,15.02,0.42,F2IV/V,,
7244,7.63,23.32927984,23.97550045,30.13,0.67,G0,,
6206,7.65,19.88915049,-39.36272349,25.59,0.62,G2V,,
5521,7.66,17.67511529,42.93231721,37.34,0.73,K0,,
7576,7.66,24.39735704,-6.76018613,42.35,0.8,G5,,
4907,7.67,15.73689231,69.22742039,38.73,0.76,G5,,
4882,7.7,15.68345889,-47.28725845,20.35,0.59,G0V,,
6511,7.7,20.90496208,-41.26963005,17.75,0.55,G0V,,
7902,7.7,25.40291709,66.9105885,27.28,0.69,G5V,,
5054,7.72,16.16782838,-39.48693482,24.8,0.61,G3IV,,
413,7.73,1.26034142,-36.01527326,19.78,0.54,G0V,,
3053,7.74,9.69033976,-85.41237038,26.42,0.75,G8V,,
5644,7.74,18.12423811,-9.22368841,22.01,0.69,G0,,
6917,7.74,22.26920867,21.72361547,43.16,0.97,K2V,,
7733,7.74,24.89851037,28.11067481,29.41,0.73,G8V,,
3876,7.75,12.44099553,70.44899713,46.47,0.9,K0,,
4144,7.76,13.24718195,39.04300372,19.44,0.58,F7IV,,
2847,7.77,9.0151309,7.15600861,19.45,0.56,F5,,
3479,7.78,11.11019153,-26.51604473,30.58,0.66,G5V,,
7183,7.78,23.13664908,-49.52800433,20.49,0.64,G1/G2IV/V,,
9716,7.79,31.24714248,-15.67799402,39.16,0.83,K0V,,
400,7.82,1.23366004,23.26964739,39.06,0.76,G9V,,
641,7.82,1.96614972,55.57701937,21.83,0.61,G0,,
3704,7.85,11.87869685,-36.93934176,19.99,0.54,F7/F8V,,
6456,7.85,20.75984242,-12.96600556,33.09,0.9,K0IV,,
7429,7.85,23.9242595,-55.23844148,20.82,0.56,F8/G0V,,
7759,7.85,24.97691301,-9.97245897,21.16,0.61,F8,,
9073,7.85,29.19715132,23.05117755,30,0.71,G5,,
4617,7.86,14.81053373,83.10292417,21.38,0.56,F8,,
1623,7.87,5.07095779,-77.22264886,19.35,0.55,F6V,,
6161,7.87,19.75570086,-77.03082906,13.64,0.56,G0IV,,
3391,7.88,10.80233084,-37.98235299,22.7,0.72,G5V,,
6022,7.88,19.34459814,-5.63250837,20.42,0.56,F8,,
7040,7.91,22.69189073,-59.65937826,15.85,0.6,G0V,,
1936,7.92,6.10623866,-27.02697608,55.53,0.94,K2V,,
6455,7.92,20.75399055,-16.48703344,27,0.66,G5V,,
7822,7.92,25.15145606,-36.48323827,28.29,0.71,G5V,,
6978,7.93,22.4633787,31.007333,23.4,0.71,G5,,
8498,7.93,27.39800556,-46.76892974,20.46,0.66,G5V,,
3911,7.94,12.53815505,-83.7439717,16.94,0.52,F7V,,
919,7.95,2.8428974,30.44948927,29.35,0.76,K0V,,
1382,7.96,4.31752626,-43.85269422,27.32,0.65,G5IV-V,,
6762,7.96,21.75571899,-0.15671666,33.59,0.74,G5,,
1582,7.97,4.9531931,-60.91218601,16.31,0.55,G0IV/V,,
3924,7.98,12.60079553,-64.06781229,18.41,0.56,F7V,,
6130,8,19.67019999,-0.86695851,36.16,0.78,K1V,,
2742,8.02,8.75416804,42.69495016,34.52,0.87,K0IV,,
3535,8.03,11.2705124,1.78691411,45.43,0.98,K2V,,
5529,8.06,17.6960883,-66.18786313,27.87,0.85,K0IV/V,,
8543,8.06,27.5329329,29.46472971,37.33,0.76,K1V,,
9499,8.06,30.55008416,-62.59219399,15.49,0.61,F7/8V(p),,
9141,8.07,29.45380158,-21.90136168,23.61,0.65,G3/G5V,,
7860,8.09,25.27808138,3.71363494,23.73,0.73,G0,,
407,8.13,1.24427458,-70.21220744,22.09,0.71,G5V,,
5176,8.15,16.55221696,13.25278682,20.84,0.66,G0,,
7076,8.15,22.79590568,-9.31206378,22.17,0.63,G0,,
475,8.22,1.42333268,58.31365552,21.03,0.64,G0,,
920,8.23,2.85187794,23.81814771,18.6,0.58,G0,,
296,8.24,0.92207847,-28.39584776,25.29,0.78,G8V,,
5895,8.25,18.93728992,-53.71573852,20.84,0.65,G3V,,
57,8.27,0.16828557,-69.67580068,33.89,0.86,K2V,,
3470,8.28,11.08845455,-85.89152517,15.37,0.57,F8/G0V,,
6607,8.29,21.20414696,-27.83837476,24.75,0.68,G6Vw...,,
929,8.34,2.88657321,-58.90982912,17,0.62,G4V,,
1128,8.36,3.5176132,-11.31111824,23.68,0.65,G5,,
4103,8.36,13.16671383,31.45946741,25.86,0.71,G0,,
6494,8.37,20.85673686,-76.611732,20.73,0.66,G5V,,
6575,8.39,21.1160057,39.06213484,31.77,0.78,G5,,
2848,8.4,9.01693123,-49.12780855,23.21,0.78,K0V,,
6913,8.4,22.25518267,86.93306587,23.97,0.71,G0,,
7990,8.4,25.65412355,-58.4130565,22.59,0.71,G6V,,
705,8.41,2.1974024,86.78789828,16.24,0.59,G2V,,
5286,8.41,16.90753784,22.95617138,48.2,1.12,K4V,,
6744,8.41,21.70511682,-29.47450648,24.51,0.72,G5V,,
8070,8.42,25.92186046,63.82481469,74.45,1.2,K5V,,
6276,8.43,20.13417401,-11.46736892,28.52,0.79,G0,,
4966,8.44,15.91466099,82.10089846,22.56,0.6,G5,,
4041,8.45,12.95657932,78.62577543,24.87,0.78,G5,,
5745,8.47,18.45261156,-50.65538631,23.55,0.45,F5V,,
8867,8.47,28.52575237,66.17653388,45.16,1.01,G5,,
184,8.48,0.58977565,11.00634091,29.75,0.89,K0,,
436,8.49,1.32445343,-67.8312267,62.48,1.08,K5V,,
6613,8.49,21.22336474,18.50039482,30.24,0.91,K0,,
6485,8.53,20.83814154,-57.48065865,20.29,0.7,G6V,,
7744,8.53,24.92607729,65.16003065,22.58,0.77,G5,,
2743,8.55,8.75687799,-63.6938281,34.04,0.85,K3V,,
1206,8.57,3.76898965,-68.53023276,22.9,0.69,G6V,,
1779,8.59,5.64495308,-73.03224385,22.53,0.77,G8V,,
9044,8.61,29.13320582,-60.22710031,50.76,1.14,K5V,,
5373,8.63,17.19028697,-25.86120192,28.33,0.84,K0V,,
9892,8.64,31.82489917,-53.19898114,19.93,0.7,G5V,,
38,8.65,0.11104694,-79.06183133,23.84,0.78,G6V,,
1347,8.67,4.21891882,81.66369004,30,0.85,K0,,
